ACCDDATE,ACCDYEAR,ACCDNMBR,ACCDTIME,DAYNMBR,Weekend,Fishnet_ID
4/20/2012,2012,120404671,308,FRI,0,4852
2/2/2011,2011,110204074,2210,WED,0,4852
9/25/2011,2011,110907837,715,SUN,1,4865
9/22/2012,2012,120909158,2330,SAT,1,4871
2/28/2012,2012,120208857,1519,TUE,0,4874
10/7/2014,2014,141002573,2035,TUE,0,4876
6/28/2011,2011,110610003,2334,TUE,0,4877
5/18/2013,2013,130509485,2213,SAT,1,4878
9/24/2010,2010,100909264,905,FRI,0,4879
1/16/2010,2010,100108656,329,SAT,1,4882
12/7/2014,2014,141203332,1340,SUN,1,4883
9/13/2014,2014,140906203,1825,SAT,1,4884
9/18/2010,2010,100908978,142,SAT,1,4884
1/24/2013,2013,130106563,145,THU,0,4884
3/8/2010,2010,100301409,1419,MON,0,4884
2/2/2014,2014,140200274,310,SUN,1,4884
5/22/2014,2014,140504267,10,THU,0,4885
6/17/2011,2011,110603634,400,FRI,0,4885
1/27/2011,2011,110107585,2150,THU,0,4887
1/22/2013,2013,130106358,1515,TUE,0,4888
